"Arquivo";"StatusArquivo";"ChavesTribo";"ChavesDeepSeek";"Iguais";"Diferentes";"SomenteTribo";"SomenteDeepSeek";"TriboPreenchidoDeepVazio";"TriboVazioDeepPreenchido";"AmbosPreenchidosDiferentes";"PT_Tribo_Heuristico";"PT_DeepSeek_Heuristico";"EN_Tribo_Heuristico";"EN_DeepSeek_Heuristico"
"Stores_Twk.int";"Diferen̤as para reviṣo";"63";"63";"11";"52";"0";"0";"0";"0";"52";"48";"1";"0";"40"
"Streets_AbsInv.int";"Diferen̤as para reviṣo";"30";"30";"10";"20";"0";"0";"0";"0";"20";"18";"10";"0";"0"
"Streets_MS.int";"Diferen̤as para reviṣo";"24";"24";"21";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Streets_Objectives.int";"Diferen̤as para reviṣo";"87";"87";"41";"46";"0";"0";"0";"0";"46";"27";"28";"3";"2"
"Streets_Tweaks.int";"Diferen̤as para reviṣo";"16";"16";"11";"5";"0";"0";"0";"0";"5";"2";"0";"0";"0"
"Streets_Twk.int";"Diferen̤as para reviṣo";"59";"59";"40";"19";"0";"0";"0";"0";"19";"15";"17";"0";"0"
"StreetSewer_AbsInv.int";"Diferen̤as para reviṣo";"9";"9";"4";"5";"0";"0";"0";"0";"5";"5";"6";"0";"0"
"StreetSewer_Twk.int";"Diferen̤as para reviṣo";"55";"55";"39";"16";"0";"0";"0";"0";"16";"5";"2";"0";"0"
"StreetsShared_MS.int";"Id̻ntico";"6";"6";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Subtitles.int";"Diferen̤as para reviṣo";"4";"94";"0";"4";"0";"90";"0";"0";"4";"3";"3";"0";"0"
"Thief_MS_Tweak.int";"Diferen̤as para reviṣo";"62";"62";"22";"40";"0";"0";"0";"0";"40";"0";"24";"5";"0"
"tower_01_MS.int";"Diferen̤as para reviṣo";"12";"13";"9";"3";"0";"1";"0";"0";"3";"2";"1";"0";"0"
"Tower_AbstractInv_Assets.int";"Diferen̤as para reviṣo";"24";"24";"21";"3";"0";"0";"0";"0";"3";"3";"3";"0";"0"
"Tower_AbstractInv_MS.int";"Diferen̤as para reviṣo";"3";"3";"1";"2";"0";"0";"0";"0";"2";"2";"2";"0";"0"
"Tower_Objectives.int";"Diferen̤as para reviṣo";"45";"45";"31";"14";"0";"0";"0";"0";"14";"16";"14";"3";"2"
"Tower_Twk.int";"Diferen̤as para reviṣo";"118";"118";"83";"35";"0";"0";"0";"0";"35";"23";"22";"0";"0"
"Tower_Twk_Abs.int";"Diferen̤as para reviṣo";"21";"21";"8";"13";"0";"0";"0";"0";"13";"10";"4";"0";"0"
"Tutorials_twk.int";"Diferen̤as para reviṣo";"170";"170";"137";"33";"0";"0";"0";"0";"33";"10";"31";"0";"0"
"Tutorials_twk_Abst.int";"Diferen̤as para reviṣo";"30";"30";"10";"20";"0";"0";"0";"0";"20";"20";"19";"0";"0"
"Twk_ChapterInfoList.int";"Diferen̤as para reviṣo";"52";"52";"22";"30";"0";"0";"0";"0";"30";"25";"25";"0";"0"
"Twk_EmptyHands.int";"Id̻ntico";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Twk_EmptyHands_NPC.int";"Id̻ntico";"4";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Twk_InGameUI.int";"Diferen̤as para reviṣo";"254";"254";"139";"115";"0";"0";"0";"0";"115";"63";"49";"4";"3"
"Twk_Inv_Assassin.int";"Diferen̤as para reviṣo";"18";"18";"17";"1";"0";"0";"0";"0";"1";"2";"2";"0";"0"
"Twk_Inv_CityGuard.int";"Diferen̤as para reviṣo";"6";"6";"0";"6";"0";"0";"0";"0";"6";"6";"6";"0";"0"
"Twk_Inv_CrossbowBase.int";"Id̻ntico";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Twk_Inv_EliteGuard.int";"Diferen̤as para reviṣo";"8";"8";"4";"4";"0";"0";"0";"0";"4";"4";"4";"0";"0"
"Twk_Inv_Executioner.int";"Id̻ntico";"6";"6";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Twk_Inv_Generic.int";"Id̻ntico";"6";"6";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Twk_Inv_GrenadeBase.int";"Id̻ntico";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Twk_Inv_GrenadeCorvo.int";"Id̻ntico";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Twk_Inv_HeartBase.int";"Id̻ntico";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Twk_Inv_HeartCorvo.int";"Diferen̤as para reviṣo";"2";"2";"1";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0"
"Twk_Inv_LowerGuard.int";"Id̻ntico";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Twk_Inv_NPC_Overseer.int";"Diferen̤as para reviṣo";"60";"60";"52";"8";"0";"0";"0";"0";"8";"10";"6";"0";"0"
"Twk_Inv_PistolBase.int";"Id̻ntico";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Twk_Inv_PlayerSpecific.int";"Diferen̤as para reviṣo";"10";"10";"2";"8";"0";"0";"0";"0";"8";"8";"8";"0";"0"
"Twk_Inv_SlackJaw.int";"Id̻ntico";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Twk_Inv_SpringRazor.int";"Diferen̤as para reviṣo";"6";"6";"4";"2";"0";"0";"0";"0";"2";"2";"0";"0";"0"
"Twk_Inv_SpringRazorBase.int";"Diferen̤as para reviṣo";"6";"6";"4";"2";"0";"0";"0";"0";"2";"2";"0";"0";"0"
"Twk_Inv_SwordBase.int";"Id̻ntico";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Twk_Inv_SwordBase_NPC.int";"Id̻ntico";"4";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Twk_Inv_Tallboy.int";"Diferen̤as para reviṣo";"40";"40";"38";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Twk_Inv_ThrowingHand.int";"Id̻ntico";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Twk_Inv_Thug.int";"Diferen̤as para reviṣo";"6";"6";"2";"4";"0";"0";"0";"0";"4";"4";"2";"0";"0"
"twk_inv_whiskeybottlebase.int";"Id̻ntico";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Twk_Inv_WhiskeyBottleThug.int";"Id̻ntico";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Twk_Inv_Wolfhound.int";"Id̻ntico";"6";"6";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Twk_MissionStats.int";"Diferen̤as para reviṣo";"159";"159";"0";"159";"0";"0";"0";"0";"159";"50";"0";"4";"24"
"Twk_NPCPlotSettings.int";"Diferen̤as para reviṣo";"16";"16";"7";"9";"0";"0";"0";"0";"9";"7";"5";"1";"4"
"Twk_Pawn_AdmiralHavelock.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Twk_Pawn_AntonSokolov.int";"Diferen̤as para reviṣo";"32";"32";"24";"8";"0";"0";"0";"0";"8";"4";"0";"0";"0"
"Twk_Pawn_Bartender.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Twk_Pawn_Boatman.int";"Diferen̤as para reviṣo";"24";"24";"18";"6";"0";"0";"0";"0";"6";"3";"0";"0";"0"
"Twk_Pawn_Boyle_Party.int";"Diferen̤as para reviṣo";"260";"260";"179";"81";"0";"0";"0";"0";"81";"54";"21";"0";"0"
"Twk_Pawn_Calista.int";"Diferen̤as para reviṣo";"32";"32";"24";"8";"0";"0";"0";"0";"8";"4";"0";"0";"0"
"Twk_Pawn_CityGuard_Rape.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Twk_Pawn_Corvo.int";"Diferen̤as para reviṣo";"30";"30";"2";"28";"0";"0";"0";"0";"28";"28";"18";"0";"8"
"Twk_Pawn_DefaultNPC.int";"Diferen̤as para reviṣo";"9";"9";"7";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Twk_Pawn_DefaultPlayer.int";"Diferen̤as para reviṣo";"60";"60";"3";"57";"0";"0";"0";"0";"57";"49";"8";"3";"43"
"Twk_Pawn_E3_CrazyDude.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Twk_Pawn_E3_Noble.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"2";"1";"0";"0"
"Twk_Pawn_E3_Weeper.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Twk_Pawn_Empress.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Twk_Pawn_Executioner.int";"Diferen̤as para reviṣo";"16";"16";"12";"4";"0";"0";"0";"0";"4";"2";"0";"0";"0"
"Twk_Pawn_GuardCaptain.int";"Diferen̤as para reviṣo";"16";"16";"12";"4";"0";"0";"0";"0";"4";"2";"0";"0";"0"
"Twk_Pawn_HubServantFemale.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Twk_Pawn_JonathanRussel.int";"Diferen̤as para reviṣo";"16";"16";"12";"4";"0";"0";"0";"0";"4";"2";"0";"0";"0"
"Twk_Pawn_LadyEmily.int";"Diferen̤as para reviṣo";"16";"16";"11";"5";"0";"0";"0";"0";"5";"2";"0";"0";"0"
"Twk_Pawn_LadyEsmaBoyle.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Twk_Pawn_LadyLydiaBoyle.int";"Diferen̤as para reviṣo";"16";"16";"10";"6";"0";"0";"0";"0";"6";"2";"0";"0";"0"
"Twk_Pawn_LadyWaverlyBoyle.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Twk_Pawn_Lighthouse_Elites.int";"Diferen̤as para reviṣo";"40";"40";"25";"15";"0";"0";"0";"0";"15";"10";"5";"0";"0"
"Twk_Pawn_Lighthouse_Guards.int";"Diferen̤as para reviṣo";"40";"40";"27";"13";"0";"0";"0";"0";"13";"10";"5";"0";"0"
"Twk_Pawn_LordPendleton.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Twk_Pawn_LordRegent.int";"Diferen̤as para reviṣo";"16";"16";"11";"5";"0";"0";"0";"0";"5";"2";"0";"0";"0"
"Twk_Pawn_Martin_HUB.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Twk_Pawn_Martin_Prison.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Twk_Pawn_Outsider.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Twk_Pawn_OverseerCampbell.int";"Diferen̤as para reviṣo";"24";"24";"15";"9";"0";"0";"0";"0";"9";"3";"0";"0";"0"
"Twk_Pawn_OverseerMartin.int";"Diferen̤as para reviṣo";"16";"16";"12";"4";"0";"0";"0";"0";"4";"2";"0";"0";"0"
"Twk_Pawn_PendletonBrother_A.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Twk_Pawn_PendletonBrother_B.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Twk_Pawn_Piero.int";"Diferen̤as para reviṣo";"24";"24";"18";"6";"0";"0";"0";"0";"6";"3";"0";"0";"0"
"Twk_Pawn_Tallboy.int";"Diferen̤as para reviṣo";"16";"16";"10";"6";"0";"0";"0";"0";"6";"2";"0";"0";"0"
"Twk_Pawn_Test_Guard_OffDuty.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Twk_Pawn_TestPawn_Farmer.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Twk_Pawn_TestPawn_Merchant.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Twk_Pawn_TestPawnBlueElite.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Twk_Pawn_TestPawnBlueGuard.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Twk_Pawn_TestPawnRedElite.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Twk_Pawn_TestPawnRedGuard.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Twk_Pawn_TestPawnYellowElite.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Twk_Pawn_TestPawnYellowGuard.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Twk_Pawn_Tower_Captain.int";"Id̻ntico";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Twk_Pawn_WolfHound.int";"Diferen̤as para reviṣo";"24";"24";"16";"8";"0";"0";"0";"0";"8";"5";"0";"0";"0"
"Twk_Powers_DevouringSwarm.int";"Diferen̤as para reviṣo";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Twk_Powers_Possess.int";"Diferen̤as para reviṣo";"3";"3";"0";"3";"0";"0";"0";"0";"3";"1";"1";"1";"1"
"Twk_Proj_Arrows.int";"Diferen̤as para reviṣo";"6";"6";"4";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Twk_Proj_Grenade.int";"Diferen̤as para reviṣo";"10";"10";"9";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"Twk_Proj_GrenadeBase.int";"Diferen̤as para reviṣo";"12";"12";"11";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"Twk_Proj_StickyGrenade.int";"Diferen̤as para reviṣo";"12";"12";"9";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Twk_Proj_ThrownObject.int";"Id̻ntico";"6";"6";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"twk_proj_whiskeybottle.int";"Diferen̤as para reviṣo";"12";"12";"10";"2";"0";"0";"0";"0";"2";"2";"1";"0";"0"
"Twk_Projectiles.int";"Diferen̤as para reviṣo";"48";"48";"36";"12";"0";"0";"0";"0";"12";"8";"1";"0";"0"
"Twk_RatSwarm.int";"Id̻ntico";"6";"6";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Twk_RiverKrust_Interactable.int";"Diferen̤as para reviṣo";"6";"6";"5";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0"
"Twk_UI_MainMenu.int";"Diferen̤as para reviṣo";"8";"8";"3";"5";"0";"0";"0";"0";"5";"3";"3";"0";"0"
"Twk_UI_MissionStats.int";"Diferen̤as para reviṣo";"5";"5";"2";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Twk_Upgrades.int";"Diferen̤as para reviṣo";"280";"280";"214";"66";"0";"0";"0";"0";"66";"59";"58";"4";"2"
"usable_HoldToUse_twk.int";"Diferen̤as para reviṣo";"66";"66";"44";"22";"0";"0";"0";"0";"22";"11";"5";"0";"0"
"usable_twk.int";"Diferen̤as para reviṣo";"149";"149";"83";"66";"0";"0";"0";"0";"66";"10";"10";"0";"1"
"WallOfLight_twk.int";"Diferen̤as para reviṣo";"12";"12";"9";"3";"0";"0";"0";"0";"3";"1";"1";"0";"0"
"WatchTower.int";"Id̻ntico";"6";"6";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"WatchTower_Twk.int";"Diferen̤as para reviṣo";"6";"6";"4";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"WrittenNotes_Assets.int";"Diferen̤as para reviṣo";"130";"130";"126";"4";"0";"0";"0";"0";"4";"13";"13";"0";"0"
"WrittenNotes_twk.int";"Diferen̤as para reviṣo";"594";"594";"252";"338";"4";"4";"0";"0";"338";"307";"327";"41";"3"
"ysaquet_Bridge.int";"Diferen̤as para reviṣo";"10";"10";"8";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0"
